date,description,amount,category,payment_method
2014-09-29,lucky penny,0.01,living,cash
2014-09-30,ebay,-7.4,living,cash
2014-09-30,ebay,-8.5,living,cash
2014-09-30,ebay,-10.22,living,cash
2014-09-30,ebay,-5.78,living,cash
2014-09-30,ebay,-8.2,living,cash
2014-10-02,work,1022.26,living,cash
2014-10-02,rent,-550,living,cash
2014-10-02,tutoring,30,living,cash
2014-10-02,online purchase,-202.11,living,cash
2014-10-03,GST rebate,67,living,cash
2014-10-03,subway,-6.7,living,cash
2014-10-04,museum,-25.99,living,cash
2014-10-04,dinner,-38,living,cash
2014-10-04,bus,-20.7,living,cash
2014-10-05,zaks,-48.17,living,cash
2014-10-05,dessert,-10,living,cash
2014-10-06,tutoring,30,living,cash
2014-10-06,micro usb,-11.29,living,cash
2014-10-07,shoppers,-25.4,living,cash
2014-10-07,harveys,-13.09,living,cash
2014-10-07,superstore,-33.11,living,cash
2014-10-08,shoppers,-8.23,living,cash
2014-10-08,tutoring,30,living,cash
2014-10-08,lcbo,-36.9,living,cash
2014-10-08,walmart,-19.35,living,cash
2014-10-08,walmart,-15.74,living,cash
2015-10-08,wind,-33.6,living,cash
2014-10-09,subway,-6.7,living,cash
2014-10-09,tutoring,30,living,cash
2014-10-09,walmart,-2.11,living,cash
2014-10-09,ebay,-46.99,living,cash
2014-10-09,ebay,-20.41,living,cash
2014-10-10,superstore,-2.1,living,cash
2014-10-10,shoppers,-6.77,living,cash
2014-10-10,bus,-3.45,living,cash
2014-10-10,independent mkt,-32.73,living,cash
2014-10-10,taxi,-12.17,living,cash
2014-10-10,goodlife,-28.25,living,cash
2014-10-10,HST rebate,49.15,living,cash
2014-10-11,bus,-6.9,living,cash
2014-10-11,3 brewers,-48.17,living,cash
2014-10-11,cinema,-24.5,living,cash
2014-10-11,popcorn,-5,living,cash
2014-10-12,superstore,-43.9,living,cash
2014-10-13,ebay,-17.33,living,cash
2014-10-13,ebay,-14.75,living,cash
2014-10-14,harveys,-4.18,living,cash
2014-10-14,tutoring,30,living,cash
2014-10-14,walmart,-55.08,living,cash
2014-10-14,superstore,-6.97,living,cash
2014-10-15,harveys,-5.65,living,cash
2014-10-15,eye exam,-70,living,cash
2014-10-15,walmart,-25.85,living,cash
2014-10-16,work,945.95,living,cash
2014-10-16,tutoring,45,living,cash
2014-10-16,costco,-62.15,living,cash
2014-10-16,ink,-48.54,living,cash
2014-10-16,hotdog,-2.6,living,cash
2014-10-16,ebay,-21.5,living,cash
2014-10-17,costco,-62.54,living,cash
2014-10-18,tutoring,75,living,cash
2014-10-18,haircut,-21,living,cash
2014-10-18,drinks,-41,living,cash
2014-10-18,taxi,-18,living,cash
2014-10-19,tutoring,30,living,cash
2014-10-19,walmart,-14.27,living,cash
